text,lbl
TRUNG TÂM THƯƠNG MAI AEON HÀ ĐÔNG,0
Milano Coffee Vietnam,0
P8 Phan Chu Trinh Hiệp Phú Quận Hồ,1
TỔNG TIẾN PHẢI T TOÁN,3
Số ngõ Láng Trung P Lánh Hạ,1
TỔ KHU MINH TIẾN A P CẨ,1
VinCommertce,0
VM HNI Láng Trung số Ngô Láng Trung P Lăng Ha Q Đống Đa Hà Nội,1
Tổ KHIU MINH TIẾN A,1
Tổng Tiến,3
CƠM GÀ BẢO NGỌC,0
Cs Đồng Bông Dịch,1
Vọng Hậu Cầu Giấy HN,1
VHa,0
VM QNH Trần phú,1
BIG C DI AN,0
CTY TNHH EB BINH DUONG EBBD,0
P Đong Hoa TX Di An Tỉnh Bình Duong,1
